CAW 坎波斯
CGB 库亚巴
CGH 圣保罗
CGR 大坎波
CPQ 坎皮纳斯
CPV 大坎皮纳
CRQ 卡拉维卡斯
CWB 库里提巴
CZS 南克鲁兹罗
ERN 埃鲁内佩
GIG 里约热内卢
GRU 圣保罗
GYN 戈亚尼亚
IOS 伊列乌斯
JDO 茹阿泽鲁
JPA 若昂佩索阿
MAO 马瑙斯
MCP 马卡帕
MCZ 马塞约
POA 阿雷格里港
REC 累西腓
RIA 圣玛丽亚
RIG 里奥格兰德
RIO 里约热内卢
SAO 圣保罗
SDU 里约热内卢
SLZ 圣刘易斯
SRA 圣罗莎
SSA 萨尔瓦多
STM 圣塔伦
TOW 托莱多
TUR 图库鲁伊
UBA 乌贝拉巴
UDI 乌贝兰迪亚
VIX 维多利亚
ELE 埃尔雷亚尔
PAC 巴拿马城
PTY 巴拿马
BAH 巴林
ENO 恩卡纳西翁
ASU 亚松森
CJL 奇特拉尔
DBA 达尔本丁
GIL 吉尔吉特
GWD 加瓦特尔
HDD 海得拉巴
JAG 雅各布布巴德
KUI 喀拉@
LHE 拉合尔
ORW 奥尔马拉
PZH 兹霍布
UET 奎达
WNS 纳瓦布沙阿
ASD 安德罗斯
FPO 自由港
GGT 乔治镇
NAS 拿骚
BGI 巴巴多斯
ABX 阿尔伯里
ADL 阿德雷德
ALH 阿尔班尼
ARM 阿米代尔
ASP 爱丽斯泉
AYQ 埃尔石
BCI 巴格甸
BDB 班达堡
BEO 纽卡塞尔
BHQ 布罗肯希尔
BHS 巴妥斯特
BKQ 布拉加尔
BME 布鲁姆
BNE 布里斯班
BNK 巴连娜
BOX 波劳罗拉
BRK 伯克
BUC 伯克敦
